img_path,mask_path
Image/BinRushed/BinRushed1/image47.tif,FinalLabel/BinRushed/BinRushed1/image47.tif
Image/BinRushed/BinRushed3/image13.tif,FinalLabel/BinRushed/BinRushed3/image13.tif
Image/MESSIDOR/image110.tif,FinalLabel/MESSIDOR/image110.tif
Image/BinRushed/BinRushed2/image15.tif,FinalLabel/BinRushed/BinRushed2/image15.tif
Image/BinRushed/BinRushed3/image20.tif,FinalLabel/BinRushed/BinRushed3/image20.tif
Image/MESSIDOR/image326.tif,FinalLabel/MESSIDOR/image326.tif
Image/MESSIDOR/image170.tif,FinalLabel/MESSIDOR/image170.tif
Image/MESSIDOR/image22.tif,FinalLabel/MESSIDOR/image22.tif
Image/MESSIDOR/image111.tif,FinalLabel/MESSIDOR/image111.tif
Image/BinRushed/BinRushed3/image41.tif,FinalLabel/BinRushed/BinRushed3/image41.tif
Image/BinRushed/BinRushed1/image31.tif,FinalLabel/BinRushed/BinRushed1/image31.tif
Image/MESSIDOR/image70.tif,FinalLabel/MESSIDOR/image70.tif
Image/MESSIDOR/image77.tif,FinalLabel/MESSIDOR/image77.tif
Image/MESSIDOR/image388.tif,FinalLabel/MESSIDOR/image388.tif
Image/MESSIDOR/image198.tif,FinalLabel/MESSIDOR/image198.tif
Image/BinRushed/BinRushed3/image21.tif,FinalLabel/BinRushed/BinRushed3/image21.tif
Image/BinRushed/BinRushed2/image39.tif,FinalLabel/BinRushed/BinRushed2/image39.tif
Image/MESSIDOR/image425.tif,FinalLabel/MESSIDOR/image425.tif
Image/MESSIDOR/image38.tif,FinalLabel/MESSIDOR/image38.tif
Image/BinRushed/BinRushed2/image34.tif,FinalLabel/BinRushed/BinRushed2/image34.tif
Image/MESSIDOR/image397.tif,FinalLabel/MESSIDOR/image397.tif
Image/BinRushed/BinRushed2/image28.tif,FinalLabel/BinRushed/BinRushed2/image28.tif
Image/MESSIDOR/image50.tif,FinalLabel/MESSIDOR/image50.tif
Image/MESSIDOR/image240.tif,FinalLabel/MESSIDOR/image240.tif
Image/MESSIDOR/image399.tif,FinalLabel/MESSIDOR/image399.tif
Image/BinRushed/BinRushed3/image44.tif,FinalLabel/BinRushed/BinRushed3/image44.tif
